mapred.map.tasks,"mapred.map.tasks is deprecated, use mapreduce.job.maps instead",me,"\w+\s+mapred.map.tasks(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
hive.exec.mode.local.auto,"hive.exec.mode.local.auto is deprecated, use hive.exec.mode.local.auto.inputbytes.max instead",me,"\w+\s+hive.exec.mode.local.auto(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
hive.merge.mapfiles,"hive.merge.mapfiles is deprecated, use hive.merge.smallfiles.avgsize instead",me,"\w+\s+hive.merge.mapfiles(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
hive.map.aggr,"hive.map.aggr is deprecated, use mapreduce.combine.class instead",me,"\w+\s+hive.map.aggr(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
hive.optimize.index.filter,"hive.optimize.index.filter is deprecated, use hive.optimize.index.autotune instead",me,"\w+\s+hive.optimize.index.filter(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
application,"the word application cannot be used in queries in CDP, Change applications. Enclose queries in backticks",se,"\s+(application)(\s+|\,)"
time,"the word time cannot be used in queries in CDP, Change time. Enclose queries in backticks",se,"\s+(time)(\s+|\,)"
numeric,"the word numeric cannot be used in queries in CDP, Change numeric. Enclose queries in backticks",se,"\s+(numeric)(\s+|\,)"
sync,"the word sync cannot be used in queries in CDP, Change sync. Enclose queries in backticks",se,"\s+(sync)(\s+|\,)"
hive.limit.query.max.table.partition,The parameter hive.limit.query.max.table.partition has been deprecated and must be removed from your code,me,"\w+\s+hive.limit.query.max.table.partition(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
hive.warehouse.subdir.inherit.perms,The parameter hive.warehouse.subdir.inherit.perms has been deprecated and must be removed from your code,me,"\w+\s+hive.warehouse.subdir.inherit.perms(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
hive.stats.fetch.partition.stats,The parameter hive.stats.fetch.partition.stats has been deprecated and must be removed from your code,me,"\w+\s+hive.stats.fetch.partition.stats(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
hive.metastore.hbase.cache.ttl,The parameter hive.metastore.hbase.cache.ttl has been deprecated and must be removed from your code,me,"\w+\s+hive.metastore.hbase.cache.ttl(\s{0,1}|\s+)\=(\s{0,1}|\s+)"
